speciesid,populationid,Species,Population/Stock,Status,Freshwater,Marine,HUC8,Basin Name,Default Run
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,Yes,Yes,17090006,South Santiam,Spring
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,Yes,Yes,17080003,Lower Columbia-Clatskanie,Spring
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,Yes,Yes,17090012,Lower Willamette,Spring
5,110,"Salmon, chum",Columbia River,NMFS Threatened,Yes,Yes,17090012,Lower Willamette,NULL
5,110,"Salmon, chum",Columbia River,NMFS Threatened,Yes,Yes,17080003,Lower Columbia-Clatskanie,NULL
5,110,"Salmon, chum",Columbia River,NMFS Threatened,Yes,Yes,17090009,Molalla-Pudding,NULL
5,110,"Salmon, chum",Columbia River,NMFS Threatened,Yes,Yes,17090007,Middle Willamette,NULL
5,110,"Salmon, chum",Columbia River,NMFS Threatened,Yes,Yes,17090011,Clackamas,NULL
5,110,"Salmon, chum",Columbia River,NMFS Threatened,Yes,Yes,17080006,Lower Columbia,NULL
5,110,"Salmon, chum",Columbia River,NMFS Threatened,Yes,Yes,17070105,Middle Columbia-Hood,NULL
5,110,"Salmon, chum",Columbia River,NMFS Threatened,Yes,Yes,17080001,Lower Columbia-Sandy,NULL
5,110,"Salmon, chum",Columbia River,NMFS Threatened,Yes,Yes,17080004,Upper Cowlitz,NULL
5,110,"Salmon, chum",Columbia River,NMFS Threatened,Yes,Yes,17080005,Cowlitz,NULL
5,110,"Salmon, chum",Columbia River,NMFS Threatened,Yes,Yes,17080002,Lewis,NULL
5,93,"Salmon, chum",Hood Canal summer-run,NMFS Threatened,Yes,Yes,17110017,Skokomish,NULL
5,93,"Salmon, chum",Hood Canal summer-run,NMFS Threatened,Yes,Yes,17110019,Kitsap,NULL
5,93,"Salmon, chum",Hood Canal summer-run,NMFS Threatened,Yes,Yes,17110020,Dungeness-Elwha,NULL
5,93,"Salmon, chum",Hood Canal summer-run,NMFS Threatened,Yes,Yes,17110018,Hood Canal,NULL
2,30,"Salmon, coho",Central California Coast,NMFS Endangered,Yes,Yes,18010109,Gualala-Salmon,NULL
2,30,"Salmon, coho",Central California Coast,NMFS Endangered,Yes,Yes,18010108,Big-Navarro-Garcia,NULL
2,30,"Salmon, coho",Central California Coast,NMFS Endangered,Yes,Yes,18010110,Russian,NULL
2,30,"Salmon, coho",Central California Coast,NMFS Endangered,Yes,Yes,18050005,Tomales-Drake Bays,NULL
2,30,"Salmon, coho",Central California Coast,NMFS Endangered,Yes,Yes,18050006,San Francisco Coastal South,NULL
2,30,"Salmon, coho",Central California Coast,NMFS Endangered,Yes,Yes,18060001,San Lorenzo-Soquel,NULL
2,30,"Salmon, coho",Central California Coast,NMFS Endangered,Yes,Yes,18010111,Bodega Bay,NULL
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,Yes,Yes,17080002,Lewis,NULL
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,Yes,Yes,17080004,Upper Cowlitz,NULL
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,Yes,Yes,17080005,Cowlitz,NULL
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,Yes,Yes,17080001,Lower Columbia-Sandy,NULL
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,Yes,Yes,17090008,Yamhill,NULL
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,Yes,Yes,17090010,Tualatin,NULL
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,Yes,Yes,17080006,Lower Columbia,NULL
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,Yes,Yes,17090011,Clackamas,NULL
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,Yes,Yes,17080003,Lower Columbia-Clatskanie,NULL
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,Yes,Yes,17090012,Lower Willamette,NULL
2,37,"Salmon, coho",Lower Columbia River,NMFS Threatened,Yes,Yes,17070105,Middle Columbia-Hood,NULL
4,111,"Salmon, sockeye",Ozette Lake,NMFS Threatened,Yes,Yes,17100101,Hoh-Quillayute,NULL
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,Yes,Yes,17060107,Lower Snake-Tucannon,NULL
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,Yes,Yes,17060110,Lower Snake River,NULL
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,Yes,Yes,17070105,Middle Columbia-Hood,NULL
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,Yes,Yes,17070204,Lower John Day,NULL
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,Yes,Yes,17060101,Hells Canyon,NULL
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,Yes,Yes,17060103,Lower Snake-Asotin,NULL
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,Yes,Yes,17090012,Lower Willamette,NULL
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,Yes,Yes,17070101,Middle Columbia-Lake Wallula,NULL
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,Yes,Yes,17080006,Lower Columbia,NULL
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,Yes,Yes,17080003,Lower Columbia-Clatskanie,NULL
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,Yes,Yes,17060209,Lower Salmon,NULL
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,Yes,Yes,17060207,Middle Salmon-Chamberlain,NULL
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,Yes,Yes,17060203,Middle Salmon-Panther,NULL
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,Yes,Yes,17060204,Lemhi,NULL
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,Yes,Yes,17060201,Upper Salmon,NULL
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,Yes,Yes,17060202,Pahsimeroi,NULL
4,4,"Salmon, sockeye",Snake River,NMFS Endangered,Yes,Yes,17080001,Lower Columbia-Sandy,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18020101,Sacramento-Lower Cow-Lower Clear,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18020102,Lower Cottonwood,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18020103,Sacramento-Lower Thomes,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18020104,Sacramento-Stone Corral,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18020105,Lower Butte,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18020106,Lower Feather,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18020107,Lower Yuba,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18020108,Lower Bear,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18020109,Lower Sacramento,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18020111,Lower American,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18020112,Sacramento-Upper Clear,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18020113,Cottonwood headwaters,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18020114,Upper Elder-Upper Thomes,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18020118,Upper Cow-Battle,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18020119,Mill-Big Chico,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18020124,Honcut headwaters,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18020125,Upper Yuba,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18020120,Upper Butte,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18040002,Middle San Joaquin-Lower Merced-Lower Stanislaus,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18020127,Upper Coon-Upper Auburn,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18040001,Middle San Joaquin-Lower Chowchilla,NULL
3,69,Steelhead,California Central Valley,NMFS Threatened,Yes,Yes,18040003,San Joaquin Delta,NULL
