speciesid,populationid,Species,Population/Stock,Status,HUC8,Basin Name
1,1,"Salmon, Chinook",Snake River fall-run,NMFS Threatened,17060209,Lower Salmon
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17060101,Hells Canyon
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17060102,Imnaha River
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17060103,Lower Snake-Asotin
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17060104,Upper Grande Ronde
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17060105,Wallowa River
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17060106,Lower Grande Ronde
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17060107,Lower Snake-Tucannon
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17060110,Lower Snake River
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17060201,Upper Salmon
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17060202,Pahsimeroi
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17060203,Middle Salmon-Panther
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17060204,Lemhi
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17060205,Upper Middle Fork Salmon
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17060206,Lower Middle Fork Salmon
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17060207,Middle Salmon-Chamberlain
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17060208,South Fork Salmon
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17060209,Lower Salmon
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17060210,Little Salmon River
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17070101,Middle Columbia-Lake Wallula
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17070105,Middle Columbia-Hood
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17070204,Lower John Day
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17070306,Lower Deschutes
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17080001,Lower Columbia-Sandy
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17080003,Lower Columbia-Clatskanie
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17080006,Lower Columbia
1,2,"Salmon, Chinook",Snake River spring/summer-run,NMFS Threatened,17090012,Lower Willamette
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,17020008,Methow
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,17020006,Okanogan
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,17070105,Middle Columbia-Hood
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,17080001,Lower Columbia-Sandy
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,17070204,Lower John Day
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,17090012,Lower Willamette
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,17070101,Middle Columbia-Lake Wallula
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,17080003,Lower Columbia-Clatskanie
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,17080006,Lower Columbia
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,17020016,Upper Columbia-Priest Rapids
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,17020011,Wenatchee
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,17020010,Upper Columbia-Entiat
1,103,"Salmon, Chinook",Upper Columbia River spring-run,NMFS Endangered,17020005,Chief Joseph
1,1235,"Salmon, Chinook",Upper Columbia River spring-run NEP,NMFS Nonessential Experimental,17020006,Okanogan
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,17090010,Tualatin
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,17090008,Yamhill
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,17080001,Lower Columbia-Sandy
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,17070105,Middle Columbia-Hood
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,17090004,McKenzie
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,17090001,Middle Fork Willamette
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,17090002,Coast Fork Willamette
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,17080006,Lower Columbia
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,17090011,Clackamas
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,17090007,Middle Willamette
1,102,"Salmon, Chinook",Upper Willamette River,NMFS Threatened,17090009,Molalla-Pudding
